Trappes; 32931; 
Versailles; 87315; 
Niort; 61044; 
Amiens; 136998; 
Albi; 51151; 
Castres; 42923; 
Montauban; 61978; 
Draguignan; 40928; 
Fréjus; 54023; 
La Garde; 25645; 
Hyères; 56799; 
Saint-Raphaël; 35826; 
La Seyne-sur-Mer; 65386; 
Six-Fours-les-Plages; 33904; 
Toulon; 171643; 
Avignon; 94200; 
Carpentras; 29498; 
Cavaillon; 26985; 
Orange; 29856; 
La Roche-sur-Yon; 56991; 
Châtellerault; 32887; 
Poitiers; 90590; 
Limoges; 135140; 
Épinal; 33454; 
Auxerre; 36804; 
Sens; 26688; 
Belfort; 49926; 
Athis-Mons; 34065; 
Brétigny-sur-Orge; 26702; 
Brunoy; 26520; 
Corbeil-Essonnes; 51682; 
Draveil; 29558; 
Évry; 55425; 
Grigny; 29118; 
Massy; 50549; 
Palaiseau; 34954; 
Ris-Orangis; 29040; 
Sainte-Geneviève-des-Bois; 36219; 
Savigny-sur-Orge; 36677; 
Les Ulis; 25031; 
Vigneux-sur-Seine; 31488; 
Viry-Châtillon; 30962; 
Yerres; 29132; 
Antony; 62989; 
Asnières-sur-Seine; 86678; 
Bagneux; 39977; 
Bois-Colombes; 28607; 
Boulogne-Billancourt; 120943; 
Châtenay-Malabry; 33413; 
Châtillon; 37132; 
Clamart; 53099; 
Clichy; 60746; 
Colombes; 86050; 
Courbevoie; 82351; 
La Garenne-Colombes; 29503; 
Gennevilliers; 46939; 
Issy-les-Moulineaux; 69231; 
Levallois-Perret; 64028; 
Malakoff; 30286; 
Meudon; 46014; 
Montrouge; 49372; 
Nanterre; 96321; 
Neuilly-sur-Seine; 61501; 
Le Plessis-Robinson; 29192; 
Puteaux; 44941; 
Rueil-Malmaison; 79783; 
Saint-Cloud; 30797; 
Suresnes; 49145; 
Vanves; 28148; 
Aubervilliers; 86533; 
Aulnay-sous-Bois; 85214; 
Bagnolet; 36047; 
Le Blanc-Mesnil; 56346; 
Bobigny; 52633; 
Bondy; 53416; 
Clichy-sous-Bois; 29978; 
La Courneuve; 42712; 
Drancy; 70883; 
Épinay-sur-Seine; 55754; 
Gagny; 39391; 
Livry-Gargan; 44721; 
Montfermeil; 26262; 
Montreuil; 109235; 
Neuilly-sur-Marne; 34859; 
Noisy-le-Grand; 67086; 
Noisy-le-Sec; 43693; 
Pantin; 55585; 
Pierrefitte-sur-Seine; 29728; 
Romainville; 26640; 
Rosny-sous-Bois; 45663; 
Saint-Denis; 112309; 
Saint-Ouen; 49949; 
Sevran; 50888; 
Stains; 39776; 
Tremblay-en-France; 35866; 
Villemomble; 30227; 
Villepinte; 36809; 
Alfortville; 44136; 
Cachan; 30524; 
Champigny-sur-Marne; 77883; 
Charenton-le-Pont; 30793; 
Choisy-le-Roi; 44781; 
Créteil; 90052; 
Fontenay-sous-Bois; 53968; 
Fresnes; 27556; 
L' Haÿ-les-Roses; 31416; 
Ivry-sur-Seine; 61099; 
Le Kremlin-Bicêtre; 25422; 
Limeil-Brévannes; 26901; 
Maisons-Alfort; 55816; 
Nogent-sur-Marne; 32195; 
Le Perreux-sur-Marne; 34017; 
Saint-Maur-des-Fossés; 75833; 
Sucy-en-Brie; 26575; 
Thiais; 29295; 
Villejuif; 55805; 
Villeneuve-Saint-Georges; 33135; 
Villiers-sur-Marne; 29407; 
Vincennes; 50300; 
Vitry-sur-Seine; 93317; 
Argenteuil; 112064; 
Bezons; 29216; 
Cergy; 64451; 
Eaubonne; 25514; 
Ermont; 29400; 
Franconville; 36349; 
Garges-lès-Gonesse; 42821; 
Gonesse; 26556; 
Goussainville; 31167; 
Herblay; 29614; 
Pontoise; 31880; 
Sannois; 27118; 
Sarcelles; 58332; 
Taverny; 26541; 
Villiers-le-Bel; 27519; 
Les Abymes; 54818; 
Baie-Mahault; 31338; 
Le Gosier; 27023; 
Fort-de-France; 82030; 
Le Lamentin; 40920; 
Cayenne; 60947; 
Kourou; 26726; 
Matoury; 32768; 
Remire-Montjoly; 26170; 
Saint-Laurent-du-Maroni; 44130; 
Le Port; 35141; 
La Possession; 33337; 
Saint-André; 56088; 
Saint-Benoît; 38466; 
Saint-Denis; 149337; 
Saint-Joseph; 38167; 
Saint-Leu; 34160; 
Saint-Louis; 53832; 
Saint-Paul; 106920; 
Saint-Pierre; 85059; 
Sainte-Marie; 33587; 
Le Tampon; 78366; 
